resource_type,resource_name,user_id,timestamp,metadata
game,902: CheonSangBi: 天上碑M,yi-chic,2/10/2026 13:14,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
realtime,Real-time Dashboard,huyph,2/10/2026 13:14,"{""folder"": ""A86 - A90 Total Football"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
game,002 - Võ Lâm Truyền Kỳ 1,tiennv10,2/10/2026 13:14,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
realtime,Real-time Dashboard,huyph,2/10/2026 13:13,"{""folder"": ""A86 - A90 Total Football"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,hongz,2/10/2026 12:40,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,hongz,2/10/2026 12:35,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
tableau,Reporting,hongz,2/10/2026 12:31,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,CS Performance,mydh6,2/10/2026 12:21,"{""folder"": ""Other Reports"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,vyvhy,2/10/2026 12:16,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
tableau,Reporting,ruixiangf,2/10/2026 12:09,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,Complete View,santc,2/10/2026 12:01,"{""folder"": ""A52 - Naraka: Bladepoint"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,A52 - Naraka: Bladepoint,santc,2/10/2026 12:01,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
realtime,Real-time Dashboard,santc,2/10/2026 12:01,"{""folder"": ""A52 - Naraka: Bladepoint"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,A52 - Naraka: Bladepoint,santc,2/10/2026 12:01,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,CS Performance,phuongbtn,2/10/2026 11:45,"{""folder"": ""Other Reports"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,thond3,2/10/2026 11:38,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
realtime,Real-time Dashboard,thond3,2/10/2026 11:37,"{""folder"": ""AA15 - Dream and Lethe Record All"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
home,Game Dashboard,thond3,2/10/2026 11:37,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
tableau,CS Performance,mydh6,2/10/2026 11:37,"{""folder"": ""Other Reports"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
home,Game Dashboard,mydh6,2/10/2026 11:37,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
tableau,Checkpoint Tracking,thond3,2/10/2026 11:37,"{""folder"": ""A52 - Naraka: Bladepoint"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
